image_id,mask_num,xmin,ymin,xmax,ymax
000004f4400f6ec5,1,457,190,546,241
0000271195f2c007,1,284,393,505,535
00006c07d2b033d1,1,253,247,368,325
00006c07d2b033d1,2,476,250,584,319
0000b366aaf9672a,1,357,164,403,196
0000b366aaf9672a,2,252,188,298,217
0000b86e2fd18333,1,572,321,664,381
0000bee39176697a,1,249,175,321,225
0000bee39176697a,2,145,232,204,274
0000bee39176697a,3,505,141,608,209
0000fc29545be065,1,248,315,353,382
0001a2f47097ee27,1,310,271,437,357
0001c3e14fe71e81,1,377,212,419,245
0001c3e14fe71e81,2,617,251,680,299
0001c3e14fe71e81,3,308,182,376,228
0001c3e14fe71e81,4,253,239,297,271
0001c3e14fe71e81,5,223,270,260,297
0001c3e14fe71e81,6,546,238,621,294
000266c1e4c17092,1,436,251,640,408
00038a568acc699b,1,302,227,444,315
0004350a376865f5,1,132,396,194,434
0004350a376865f5,2,261,450,320,486
000468989006adbd,1,202,360,399,485
000497ee2a0fe0e7,1,320,180,467,323
00050647c857b018,1,375,242,478,307
000506cc1be469b0,1,607,120,645,146
000506cc1be469b0,2,502,110,540,139
000506cc1be469b0,3,332,127,364,153
000506cc1be469b0,4,225,115,270,145
000506cc1be469b0,5,416,138,453,163
000506cc1be469b0,6,154,110,189,135
000506cc1be469b0,7,53,124,96,148
000506cc1be469b0,8,713,159,753,186
00052ba7cddbdba2,1,317,213,448,300
00058ec5c3f3274f,1,275,150,325,185
00058ec5c3f3274f,2,242,360,287,399
00058ec5c3f3274f,3,345,337,389,364
00058ec5c3f3274f,4,155,173,203,207
0005b1c48390b1c8,1,343,275,368,295
0005b1c48390b1c8,2,280,285,307,304
0005b1c48390b1c8,3,430,240,459,263
0005b1c48390b1c8,4,503,237,533,257
0005b1c48390b1c8,5,567,289,601,312
00067750bd57d634,1,210,101,266,146
0006fbc76c1f64f8,1,303,360,428,450
000729e74f9c0aa0,1,178,407,353,528
0007473cdbe8c18d,1,175,300,628,610
0007ad5c6245a41d,1,132,287,360,449
0007ad5c6245a41d,2,537,228,727,352
0007c3f55f707547,1,128,273,401,478
0007f2c4f2fe93de,1,181,216,407,345
0007f2c4f2fe93de,2,353,267,605,416
000858e87c40654a,1,262,197,309,226
00087d352416576a,1,475,239,600,326
00087d352416576a,2,263,186,376,267
00088f27177a598c,1,554,230,649,290
00088f27177a598c,2,150,269,217,310
00090aa6938b7de9,1,312,175,448,267
00090bdd55ec42c3,1,267,186,367,256
0009324a410005fc,1,210,226,284,275
0009324a410005fc,2,420,172,495,232
000c98d654d8245e,1,197,151,417,321
000c98f6a12bc006,1,171,247,286,332
000caf6b38df250f,1,153,208,223,255
000caf6b38df250f,2,447,268,548,335
000caf6b38df250f,3,541,123,617,179
000caf6b38df250f,4,274,292,364,361
000caf6b38df250f,5,548,321,644,400
000caf6b38df250f,6,129,337,206,395
000cc0cd61c6c8d7,1,182,359,335,449
000d052b06c5ca92,1,660,102,732,144
000d052b06c5ca92,2,234,167,292,207
000d052b06c5ca92,3,422,127,484,167
000d052b06c5ca92,4,67,157,138,199
000d1eae99343db8,1,160,431,436,627
000db8328068a829,1,435,229,558,310
000db8328068a829,2,308,298,411,356
000de78d19a0be3e,1,298,217,491,342
000dfa4b325516e4,1,254,371,346,443
000e7bd1ff2a1006,1,367,274,557,412
000e7bd1ff2a1006,2,226,253,388,371
000ea2e21a7bb2b6,1,171,278,454,447
000f20ade1cb904e,1,412,347,470,392
000f20ade1cb904e,2,510,196,560,228
000f20ade1cb904e,3,629,316,680,347
000f20ade1cb904e,4,331,307,378,334
000f20ade1cb904e,5,50,227,113,260
000f2e67e13c0cba,1,400,228,453,262
000f2e67e13c0cba,2,360,103,410,142
000f2e67e13c0cba,3,195,131,239,160
000f45fedb18f323,1,303,373,705,600
000fc3b8ca545905,1,257,240,483,403
000fdfc1385fe190,1,392,226,645,404
00102ffa87951af2,1,267,308,395,391
0010961385d9ec2d,1,332,253,471,353
0010cf9a7990f3bb,1,133,308,357,453
0010dccee2b1f723,1,269,237,408,327
0011665172b9a374,1,50,375,289,564
0011665172b9a374,2,387,376,712,664
0011f735d1f0de18,1,241,162,421,276
0012b3323b4ee7e7,1,380,225,509,307
0012b929c1f8ab09,1,311,289,548,440
0012ee5d55485413,1,205,210,364,326
00134c19ee564cad,1,217,257,375,364
001430c239d9bb77,1,188,338,435,500
00145feb6b15d975,1,237,178,295,217
0014bed03ffdf8de,1,221,319,363,420
0014bed03ffdf8de,2,403,135,553,246
001547a768924358,1,207,287,380,413
0016a58ef51901c2,1,440,125,514,177
00178407e270e236,1,61,283,275,395
00178407e270e236,2,558,204,760,343
00185181efe10d18,1,241,220,436,363
00185ca3b050d63b,1,467,229,625,328
00185ca3b050d63b,2,241,240,410,332
0018a10d8a6e0dd4,1,357,219,615,418
0018a10d8a6e0dd4,2,-3,109,275,314
0018e957d4bf91bf,1,293,179,419,283
0018edb3f3bd066d,1,208,178,267,216
00190010a915db23,1,456,246,573,326
001996790a987b55,1,429,124,497,178
0019fc2321be40dd,1,189,247,357,354
0019fc2321be40dd,2,47,89,132,162
0019fc2321be40dd,3,521,168,660,262
001a20261ec7e28e,1,553,85,628,133
001a20261ec7e28e,2,313,96,371,139
001a20261ec7e28e,3,108,93,174,137
001a512c540796dc,1,535,310,672,410
001a668bcd9d4e7b,1,303,226,394,283
001a6f01e4603256,1,101,135,236,225
001a6f01e4603256,2,512,436,763,595
001a6f01e4603256,3,343,149,542,262
001a6f01e4603256,4,624,93,728,153
001a6f01e4603256,5,735,46,798,88
001a76d5761da393,1,361,125,519,239
001a76d5761da393,2,159,558,219,589
001a77fd09a99aed,1,92,396,278,508
001a931916d7edf4,1,375,207,424,250
001a931916d7edf4,2,497,239,548,275
001ad258e358b14a,1,490,321,557,364
001ad258e358b14a,2,361,238,447,296
001ad258e358b14a,3,508,514,571,557
001b2409adaf91d7,1,357,234,539,371
001b9dca69bbf9df,1,171,185,280,246
001bc2f4445191a5,1,229,276,317,339
001be2b9260fe5ec,1,18,414,504,718
001c013b48910c93,1,186,182,241,224
001c013b48910c93,2,333,199,385,234
001ccb515fac73e4,1,191,321,430,444
001d39a9f454a7f3,1,385,389,543,482
001d39a9f454a7f3,2,730,244,789,282
001ddaff421aed10,1,267,211,406,293
001ddaff421aed10,2,442,160,585,259
001ddffdc17b24e4,1,240,110,322,167
001ddffdc17b24e4,2,533,178,622,233
001e587c206d984b,1,175,271,378,406
001e9e3c38ed633c,1,302,167,500,311
001ea8a8ca78a3bc,1,503,197,570,243
001ea8a8ca78a3bc,2,103,100,193,156
001f3b8c1543d83f,1,206,421,402,571
001f3b8c1543d83f,2,385,256,625,463
001f4cbc9bc272e7,1,380,296,421,323
001f4cbc9bc272e7,2,209,403,250,432
0020ca4d32839638,1,64,104,132,151
0020ca4d32839638,2,150,300,249,347
0020ca4d32839638,3,525,207,651,300
0020ca4d32839638,4,137,125,204,167
0021015f976e9ac9,1,367,308,670,475
00216bcc60486ac0,1,206,202,446,369
00218535b0515599,1,589,178,639,214
0021c679c3edfead,1,527,246,678,352
0021c679c3edfead,2,120,164,266,263
0021f7f593be535b,1,692,71,753,112
0021f7f593be535b,2,517,301,581,353
0021f7f593be535b,3,433,330,503,375
0021f7f593be535b,4,392,95,457,142
0021f7f593be535b,5,195,123,253,167
0021f7f593be535b,6,482,110,542,151
0021f7f593be535b,7,71,108,135,157
0021f7f593be535b,8,288,137,348,180
0021f7f593be535b,9,557,116,621,154
0022956940f4b895,1,240,244,386,349
0022aa7327636c98,1,335,330,454,417
0022aa7327636c98,2,200,271,333,357
0022aa7327636c98,3,11,267,41,287
0022f015f276dc21,1,132,404,353,549
0023722c698fe09f,1,353,199,424,246
0023722c698fe09f,2,201,206,288,259
0023722c698fe09f,3,527,157,605,210
002453dab2331daf,1,278,360,512,512
0024e349442b7066,1,271,252,315,277
0024e349442b7066,2,417,156,464,185
0024e349442b7066,3,207,227,255,251
0024e349442b7066,4,502,226,544,258
0024e349442b7066,5,542,222,585,250
0024e349442b7066,6,435,229,475,255
0024e349442b7066,7,380,242,426,266
0024e349442b7066,8,335,260,378,285
0025bf0880a0e8e2,1,404,192,435,211
0025e81774d62645,1,309,292,461,389
0025e81774d62645,2,72,273,320,450
0025ececb061efbd,1,98,525,162,570
0025ececb061efbd,2,385,304,442,344
